rd_id,rd_dept,rd_semester,rd_year,rd_crs_code,rd_crs_name,rd_prac_status,rd_crs_hr,rd_crs_book,rd_crs_outlline
1,cs,1,2016,CMP-100,Introduction to Computing,0,3,"Nell Dale, John Lewis, Computer Science Illuminated, 5th Edition, Jones &
Bartlett Learning, 2012, ISBN-10: 1449672841, ISBN-13: 978-
1449672843.","Introduction to Information Technology, The Internet and World
Wide Web, Software, Types of software, Application Software, Productivity
Software, System Software, Digital Logic Design, Computer Organization,
Operating System, Utility Programs, Hardware, Storage, Computer
Networks, Software development, Command Line, Little Man Computer,
Database Systems, Software Engineering Problem Solving, Algorithms,
HTML."
2,cs,1,2016,MA-101,Calculus-I,0,3,"Thomas L. Floyd, Electric Circuits Fundamentals, 8th Ed., Pearson,
2009, ISBN: 978-0135072936.
2. Robert L. Boylested & Louis Nashelsky, Electronic Devices and
Circuit Theory, 10th Ed., Pearson, 2008, ISBN: 978-0135026496.","Overview of the course, real number system, Intervals,
Inequalities, Functions, properties of functions, New functions from old,
Lines, Families of functions, Parametric equations, Functions as models,
Limits, Computing limits, Continuity, Limits and continuity of
trigonometric functions, Slopes and rates of change, the derivative,
Techniques of differentiation, Derivative of trigonometric functions,
Chain rule, Implicit differentiation, Local linear approximation,
Differentials, Analysis of functions: increase, decrease, concavity,
relative extrema, first and second derivative tests, Graph sketching in
rectangular coordinate system, Rolle’s theorem and Mean value
theorem, An overview of the area problem, the indefinite integral,
Integration by substitution, Sigma notation: Area as a limit, The definite
integral, Fundamental theorem of calculus, Evaluating the definite
integral by substitution, Area between two cures, Derivatives and
integrals of exponential and logarithmic functions, Derivatives and
integrals involving inverse trigonometric functions, L’Hôpital’s rule,
indeterminate forms, Integration by parts, Integrating rational functions
by partial fractions, First order differential equations and applications,
Second order linear homogeneous differential equations, Polar
coordinates and Graph sketching, Conic sections in calculus: Parabola
and ellipse, Hyperbola and axis of rotation."
3,cs,1,2016,EN-101,Writing Workshop,0,3,"George Stern, Writing in English: An Invaluable Guide to Effective Writing,
Didax Educational Resources, 2004, ISBN-13: 978-1583241868","Definition of Writing Skill, Techniques and Styles, Style: writing in
your natural voice, Sentence length, and structures, choice of words and
appropriateness, Use of capitals and first and second person pronouns,
Active and passive, complete guide to style, Good usage: the split infinitive
and all that General English rules and principles, Punctuation and use of
capitals, A short grammar of current English: Parts of speech; nouns,
pronouns, adjectives, Determiners, Verbs, Adverbs, Articles, Prepositions,
conjunctions, words and suffixes, Phrases, clauses and sentences; linking
phrases, transitions, coherence and unity, Genres of essays; narrative,
descriptive and argumentative, short stories; understanding the basic
differences, Features of a book review, How to write a bibliography and
references, Idioms and figure of speech, Phrasal Verbs, Writing Assignments
and Using the computer to improve writing, Reading Comprehension,
Summarizing: descriptive, informative and evaluative summary, Simple
application format and writing, Letter formats and writing, How to Write
Effective Emails, Differences between British and American English"
4,cs,1,2016,NS-103,Electricity and Magnetism,0,3,"M. Morris Mano, Digital Logic and Computer Design, 1st Edition, Pearson,

1979, ISBN: 0132145103.

Reference Material Thomas L. Floyd, Digital","Electric Charge: Introduction, Coulomb’s Law, Continuous
charge distribution (introduction), Methodology, Electric force due to a)
A uniform line of charge, b) A ring of charge, A disk of charge, A special
case (of sphere). The Electric Field, Introduction, The electric field of a
point charge, The field due to an electric dipole, Electric field of
continuous charged distributions (Ring, Disk and Sphere), Electric field
lines, Electric field due to a dipole, A dipole in an external electric field.
Guass’s Law: Introduction to Gauss’s Law, Electric flux, Gauss’s Law,
Application of Gauss’s Law. Electric Potential: Electric potential
energy, Electric potential, Calculating the potential from the field
(potential difference), Potential due to point charges, Electric potential
of continuous charged distribution, Calculating the fields from the
potential. Electric properties of materials: Types of materials, A
conductor in an electric field: static condition, A conductor in an electric
field: dynamic condition, Ohm’s law, ohmic materials. Capacitors,
Capacitance, Calculating the capacitance in different types of capacitors,
Capacitors in series and parallel, Energy stored in capacitor, Capacitors
with dielectric, Gauss’s Law for dielectrics, Simple resistive
circuits(series), Simple resistive circuits (parallel and series parallel
combination). The Magnetic Field: Magnetic interactions and magnetic
poles, the magnetic force on a moving charge, the magnetic force on
current carrying wire, The torque on current loop. The Magnetic Field
of a current: The magnetic field due to a moving charge, The magnetic"
5,cs,1,2016,MA-120,Probability and Statistics,0,3,"Campbell R. McConnell, Stanley L. Brue and Sean Masaki Flynn, Economics,

21st Edition, McGraw-Hill Education, 2017, ISBN-10: 1259723224, ISBN-
13: 978-1259723223.","Implementation of the concepts studied in “CMP140-
Programming Fundamentals”, Flowcharts/Pseudo Codes, Data types,
Variable and Constants, Operator and Expressions, Input and Output
(I/O), Formatted I/O, Escape Sequences, Decision making using if/switch
control structure, Repetition using for and do while, functions, prototype,
parameter and arguments, call by value and call by reference, Library and
header files, Array, Passing Arrays to function, multi-dimensional arrays,
searching and sorting, Pointers: pointer definition, pointer arithmetic,
constant pointers, pointer and arrays, Dynamic Memory Allocation, User
Defined Data Types: structures, definition, initialization, accessing
members of structures, typedef, unions, C File Processing: files and
streams, Sequential Access File, Random Access File, Secondary Storage
I/O. Miscellaneous Topics: Command Line Arguments."
49,cs,8,2016,CS-498,Capstone Project-2,0,3,"J. Kizza, Ethical and Social Issues in the Information Age, 4th Edition,

Springer, 2012, ISBN: 1447125452.

Reference Material Sara Baase, A Gift of Fire: Social, Legal, and Ethical","Human Values, Challenges in Work Place, Professional Ethics,
Moral Development, Model of Professional Roles, Theories about right
action (Ethical Theories), Theories about right action (Ethical Theories),
Self-Control, Self Interest, Customs, Religions, Self-Respect, Profession as
Experimentation, Codes of Ethics for Professionals, Responsibilities and
Rights, Conflict Resolution, Conflict Resolution, Safety and Risk, Risk
Analysis, Safe Exit, Risk Benefit, Collegiality and Loyalty, Collective
Bargaining, Confidentiality, Occupational Crimes, Human Rights, Employee
Rights, Whistle Blowing, Globalization, Moral Leadership, Reports by Club
of Rome, Future Threats to Human Existence"
6,cs,2,2016,MA-102,Calculus-II,0,3,"1. Charles Marut, Ytha Yu, Assembly Language Programming and
Organization of the IBM PC, 1st Edition, McGraw-Hill, 1992, ISBN:
9780070726925.
2. M. Morris Mano, Computer System Architecture, 3rd Edition, Pearson,
1993, ISBN: 9780131755635.","Introduction, History & Evolution of Intel Microprocessor And
Assembly Language, Applications and Advantages of Assembly Language,
Computer Organization, The Components of a Microcomputer System,
Instruction Cycle, Memory Architecture, Memory Representation &
Hierarchy, Data, Address, Control Busses, Intel 8086 family of
Microprocessors, Organization of Intel 8088/8086 Processor, Registers and
their categories Function of Registers, Memory Addressing, Real Mode
Memory Structure, Memory Segmentation (Segment/Offset Scheme),
Assembly Language Syntax, Program data, Variables, Different Variants of
MOV instruction, Some Basic Instructions, XCHG,ADD, SUB, INC, DEC,NEG,
Program Structure, Memory Models, Data Segments, Stack Segment, Code
Segment, Input and Output Instructions, The Processor Status and Flags
Register, Flow Control Instructions, Unconditional Jump, Various Conditional
Jumps, Looping Structures, Logic Instructions, AND, OR,XOR, NOT, TEST,
Related Programming examples, Shift Instructions, Related Programming
examples, Rotate Instructions, Related Programming examples,
Procedures to Input Binary, Decimal, Hexadecimal Numbers, Procedures to
output Binary, Decimal, Hexadecimal Numbers, The Stack, PUSH and POP
Instructions, CALL and RET instructions, Related Programming examples,
MUL instruction, DIV instruction, Related Programming examples,
Addressing Modes, Related Programming examples, XLAT instruction,
Related Programming examples, String Instructions, MOVSB/W, LOADSB/W,
STOSSB/W, SCASB/W, CMPSB/W ,Related Programming examples, File
Operations, Reading a File, Writing a File, Programming Examples, INT
Structure, Organization of the Basic Computer, Computer Instructions for
Basic computer (Memory Reference, Register Reference and I/O
instructions), Addressing modes, Instruction Cycle, Timing and Decoding,
RTL of the instructions, Complete flow chart for the Basic Computer
Operation, Design of the Control"
7,cs,2,2016,NS-105,Basic Electronics,0,3,"J. Kizza, Ethical and Social Issues in the Information Age, 4th Edition,

Springer, 2012, ISBN: 1447125452.

Reference Material Sara Baase, A Gift of Fire: Social, Legal, and Ethical","Human Values, Challenges in Work Place, Professional Ethics,
Moral Development, Model of Professional Roles, Theories about right
action (Ethical Theories), Theories about right action (Ethical Theories),
Self-Control, Self Interest, Customs, Religions, Self-Respect, Profession as
Experimentation, Codes of Ethics for Professionals, Responsibilities and
Rights, Conflict Resolution, Conflict Resolution, Safety and Risk, Risk
Analysis, Safe Exit, Risk Benefit, Collegiality and Loyalty, Collective
Bargaining, Confidentiality, Occupational Crimes, Human Rights, Employee
Rights, Whistle Blowing, Globalization, Moral Leadership, Reports by Club
of Rome, Future Threats to Human Existence"
8,cs,2,2016,MA-110,Linear Algebra,0,3,"1. R. Lafore, Object-Oriented Programming in C++, 4th Ed., Sams
publishing, 2002, ISBN: 0-672-32308-7.
2. Victor Shtern, Core C++ A Software Engineering Approach, 1st Ed.,
Prentice Hall PTR, 2000, ISBN: 0-13-085729-7.
3. Stephen Parata, C++ Primer Plus, 5th Ed., Sams Publishing, 2005,
ISBN: 0-672-32697-3.
4. Bjarne Stroustrup, The C++ Programming Language, 4th Ed., Addison
Wesley, 2013,","Object Oriented Concepts, Terminology and Features,
Class/ADT/UDT, Data Abstraction and Encapsulation, Special Methods,
Constructor and Destructor; Modifier const; Array and Pointer of ADT,
Composition, Aggregation; this Pointer, friend Function and Class, Modifier
static, Operator Overloading, Function and Class Templates, Inheritance, its
types, and related Terminology, Overriding: static &
dynamic/Polymorphism; Stream I/O, File Processing; Exception Handling"
9,cs,2,2016,CMP-120,Digital Logic Design,0,3,"Ellis Horowitz, Sartaj Sahni, D. Mehta, Fundamentals of Data
Structures in C++, 2nd Ed., Computer Science Press, 1995. ISBN 81-
7808-792-8
2. Adam B. Drozdek, Data Structure and Algorithm","Implementation of the concepts studied in “CMP244 - Object
Oriented Programming”, Review of Data Driven Programming, Defining
Classes and Object Initialization: setter/getter, Constructor/Destructor,
Resource Allocation/De-Allocation, const data members and function,
Composition, Aggregation, Friend function/classes, Generalization,
Multilevel/Multiple Inheritance, Runtime Polymorphism,
Singelton/Proxy/Adapter Pattern, Adhoc Polymorphism: Templates, Stream
I/O, File Processing, Exception Handling"
